Date,Year,Month,Day,Price,Return(1),Return(10)
1998/2/21,1998,2,21,11.19,0.003587444,-0.047659574
1998/2/23,1998,2,23,11.2,0.000893655,-0.040274207
1998/2/24,1998,2,24,11.11,-0.008035714,-0.046351931
1998/2/25,1998,2,25,11.04,-0.00630063,-0.067567568
1998/2/26,1998,2,26,11.01,-0.002717391,-0.001813237
1998/2/27,1998,2,27,11.08,0.006357856,0
1998/3/2,1998,3,2,11.07,-0.000902527,0.003626473
1998/3/3,1998,3,3,11.07,0,-0.002702703
1998/3/4,1998,3,4,11.06,-0.000903342,-0.00270514
1998/3/5,1998,3,5,11.08,0.001808318,-0.006278027
1998/3/6,1998,3,6,10.86,-0.019855596,-0.029490617
1998/3/7,1998,3,7,10.95,0.008287293,-0.022321429
1998/3/9,1998,3,9,10.98,0.002739726,-0.01170117
1998/3/10,1998,3,10,10.92,-0.005464481,-0.010869565
1998/3/11,1998,3,11,11.05,0.011904762,0.003633061
1998/3/12,1998,3,12,11.06,0.000904977,-0.001805054
1998/3/13,1998,3,13,11.1,0.003616637,0.002710027
1998/3/16,1998,3,16,11.22,0.010810811,0.013550136
1998/3/17,1998,3,17,11.32,0.008912656,0.023508137
1998/3/18,1998,3,18,11.45,0.011484099,0.033393502
1998/3/19,1998,3,19,11.46,0.000873362,0.055248619
1998/3/20,1998,3,20,11.5,0.003490401,0.050228311
1998/3/21,1998,3,21,11.46,-0.003478261,0.043715847
1998/3/23,1998,3,23,11.45,-0.0008726,0.048534799
1998/3/24,1998,3,24,11.43,-0.001746725,0.03438914
1998/3/25,1998,3,25,11.55,0.010498688,0.044303797
1998/3/26,1998,3,26,11.51,-0.003463203,0.036936937
1998/3/27,1998,3,27,11.57,0.005212858,0.031194296
1998/3/30,1998,3,30,11.66,0.007778738,0.030035336
1998/3/31,1998,3,31,11.6,-0.005145798,0.013100437
1998/4/1,1998,4,1,11.63,0.002586207,0.014834206
1998/4/2,1998,4,2,11.72,0.007738607,0.019130435
1998/4/3,1998,4,3,11.86,0.011945392,0.034904014
1998/4/4,1998,4,4,11.7,-0.013490725,0.021834061
1998/4/7,1998,4,7,11.69,-0.000854701,0.022747157
1998/4/8,1998,4,8,11.53,-0.013686912,-0.001731602
1998/4/9,1998,4,9,11.59,0.005203816,0.006950478
1998/4/10,1998,4,10,11.65,0.005176877,0.006914434
1998/4/13,1998,4,13,11.71,0.005150215,0.004288165
1998/4/14,1998,4,14,11.7,-0.000853971,0.00862069
1998/4/15,1998,4,15,11.82,0.01025641,0.016337059
1998/4/16,1998,4,16,11.96,0.011844332,0.020477816
1998/4/17,1998,4,17,11.81,-0.012541806,-0.004215852
1998/4/18,1998,4,18,11.84,0.00254022,0.011965812
1998/4/20,1998,4,20,11.84,0,0.01283148
1998/4/21,1998,4,21,11.88,0.003378378,0.030355594
1998/4/22,1998,4,22,11.9,0.001683502,0.026747196
1998/4/23,1998,4,23,11.94,0.003361345,0.024892704
1998/4/24,1998,4,24,11.86,-0.006700168,0.012809564
1998/4/27,1998,4,27,11.84,-0.001686341,0.011965812
1998/4/28,1998,4,28,11.57,-0.022804054,-0.021150592
1998/4/29,1998,4,29,11.64,0.00605013,-0.026755853
1998/4/30,1998,4,30,11.68,0.003436426,-0.011007621
1998/5/2,1998,5,2,11.74,0.005136986,-0.008445946
1998/5/4,1998,5,4,11.76,0.001703578,-0.006756757
1998/5/5,1998,5,5,11.82,0.005102041,-0.005050505
1998/5/6,1998,5,6,11.84,0.001692047,-0.005042017
1998/5/7,1998,5,7,11.78,-0.005067568,-0.013400335
1998/5/8,1998,5,8,11.71,-0.005942275,-0.012647555
1998/5/11,1998,5,11,11.83,0.010247652,-0.000844595
1998/5/12,1998,5,12,11.85,0.001690617,0.024200519
1998/5/13,1998,5,13,11.86,0.000843882,0.018900344
1998/5/14,1998,5,14,11.79,-0.005902192,0.009417808
1998/5/15,1998,5,15,11.79,0,0.004258944
1998/5/16,1998,5,16,11.75,-0.003392706,-0.00085034
1998/5/18,1998,5,18,11.84,0.007659574,0.001692047
1998/5/19,1998,5,19,11.77,-0.005912162,-0.005912162
1998/5/20,1998,5,20,11.72,-0.004248088,-0.005093379
1998/5/21,1998,5,21,11.72,0,0.000853971
1998/5/22,1998,5,22,11.72,0,-0.009298394
1998/5/25,1998,5,25,11.69,-0.002559727,-0.01350211
1998/5/26,1998,5,26,11.75,0.005132592,-0.009274874
1998/5/27,1998,5,27,11.66,-0.007659574,-0.011026293
1998/5/28,1998,5,28,11.52,-0.012006861,-0.022900763
1998/5/29,1998,5,29,11.65,0.011284722,-0.008510638
1998/6/1,1998,6,1,11.72,0.006008584,-0.010135135
1998/6/2,1998,6,2,11.55,-0.014505119,-0.018691589
1998/6/3,1998,6,3,11.5,-0.004329004,-0.018771331
1998/6/4,1998,6,4,11.45,-0.004347826,-0.023037543
1998/6/5,1998,6,5,11.48,0.002620087,-0.020477816
1998/6/6,1998,6,6,11.59,0.009581882,-0.00855432
1998/6/8,1998,6,8,11.67,0.006902502,-0.006808511
1998/6/9,1998,6,9,11.67,0,0.000857633
1998/6/10,1998,6,10,11.79,0.010282776,0.0234375
1998/6/11,1998,6,11,11.59,-0.016963528,-0.005150215
1998/6/12,1998,6,12,11.37,-0.018981881,-0.029863481
1998/6/15,1998,6,15,11.25,-0.01055409,-0.025974026
1998/6/16,1998,6,16,10.95,-0.026666667,-0.047826087
1998/6/17,1998,6,17,10.96,0.000913242,-0.04279476
1998/6/18,1998,6,18,10.92,-0.003649635,-0.048780488
1998/6/19,1998,6,19,11.06,0.012820513,-0.045729077
1998/6/20,1998,6,20,11.03,-0.002712477,-0.054841474
1998/6/22,1998,6,22,10.94,-0.008159565,-0.062553556
1998/6/23,1998,6,23,11,0.005484461,-0.067005937
1998/6/24,1998,6,24,11.17,0.015454545,-0.036238136
1998/6/25,1998,6,25,11.31,0.012533572,-0.005277045
1998/6/26,1998,6,26,11.31,0,0.005333333
1998/6/29,1998,6,29,11.17,-0.012378426,0.020091324
1998/6/30,1998,6,30,11.09,-0.007162041,0.011861314
1998/7/2,1998,7,2,11.1,0.000901713,0.016483516
1998/7/3,1998,7,3,11.2,0.009009009,0.012658228
1998/7/4,1998,7,4,11.23,0.002678571,0.018132366
1998/7/6,1998,7,6,11.25,0.001780944,0.02833638
1998/7/7,1998,7,7,11.2,-0.004444444,0.018181818
1998/7/8,1998,7,8,11.25,0.004464286,0.007162041
1998/7/9,1998,7,9,11.36,0.009777778,0.004420866
1998/7/10,1998,7,10,11.32,-0.003521127,0.000884173
1998/7/13,1998,7,13,11.3,-0.001766784,0.011638317
1998/7/14,1998,7,14,11.27,-0.002654867,0.016230839
1998/7/15,1998,7,15,11.23,-0.003549246,0.011711712
1998/7/16,1998,7,16,11.4,0.015138023,0.017857143
1998/7/17,1998,7,17,11.52,0.010526316,0.025823687
1998/7/18,1998,7,18,11.48,-0.003472222,0.020444444
1998/7/20,1998,7,20,11.5,0.00174216,0.026785714
1998/7/21,1998,7,21,11.48,-0.00173913,0.020444444
1998/7/22,1998,7,22,11.43,-0.004355401,0.006161972
1998/7/23,1998,7,23,11.23,-0.017497813,-0.00795053
1998/7/24,1998,7,24,11.17,-0.005342832,-0.011504425
1998/7/27,1998,7,27,11.1,-0.006266786,-0.015084295
1998/7/28,1998,7,28,10.98,-0.010810811,-0.022261799
1998/7/29,1998,7,29,10.88,-0.009107468,-0.045614035
1998/7/30,1998,7,30,10.83,-0.004595588,-0.059895833
1998/7/31,1998,7,31,11,0.015697138,-0.041811847
1998/8/1,1998,8,1,10.99,-0.000909091,-0.044347826
1998/8/3,1998,8,3,10.99,0,-0.042682927
1998/8/4,1998,8,4,10.92,-0.006369427,-0.044619423
1998/8/5,1998,8,5,10.76,-0.014652015,-0.041852182
1998/8/6,1998,8,6,10.72,-0.003717472,-0.040286482
1998/8/7,1998,8,7,10.8,0.007462687,-0.027027027
1998/8/10,1998,8,10,10.94,0.012962963,-0.003642987
1998/8/11,1998,8,11,10.85,-0.008226691,-0.002757353
1998/8/12,1998,8,12,10.59,-0.023963134,-0.022160665
1998/8/13,1998,8,13,10.8,0.019830028,-0.018181818
1998/8/14,1998,8,14,10.62,-0.016666667,-0.03366697
1998/8/15,1998,8,15,10.63,0.00094162,-0.032757052
