Date,Price,1d Price_C,5d Price_C,10d Price_C,T10Y2Y,T10Y2Y_C,S&P500 Close,1d S&P500 Close_C,5d S&P500 Close_C,10d S&P500 Close_C,University of Michigan Consumer,M2,Average Weekly Hours of Production,Building Permits,Manufacturers' New Orders Durable Goods,Real personal income excluding current transfer receipts,"All Employees, Total Nonfarm",Industrial Production Index,Inventories to Sales Ratios,Label
2001/8/14,9.59,0,-0.022426096,-0.015400411,1.23,-0.04,1186.72998,-0.003827833,-0.014671242,-0.020227373,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,Little High Point
2001/8/15,9.62,0.003128259,-0.019367992,-0.021363174,1.2,-0.03,1178.02002,-0.007339462,-0.004655572,-0.031177808,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/16,9.58,-0.004158004,-0.008281573,-0.031344793,1.2,0,1181.660034,0.003089942,-0.001495669,-0.032021271,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/17,9.57,-0.001043841,-0.001043841,-0.03722334,1.17,-0.03,1161.969971,-0.016663052,-0.023685943,-0.043134192,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,Extremely High Point
2001/8/20,9.41,-0.016718913,-0.018769552,-0.044670051,1.17,0,1171.410034,0.008124188,-0.016687796,-0.024215269,91.5,4539.68,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/21,9.46,0.005313496,-0.013555787,-0.03567788,1.18,0.01,1157.26001,-0.01207948,-0.024832919,-0.039139832,91.5,4555.725,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/22,9.42,-0.00422833,-0.020790021,-0.039755352,1.15,-0.03,1165.310059,0.006956128,-0.010789257,-0.015394599,91.5,4555.725,41.3,1615,176350,9784.6,132028,92.3208,1.42,High Point
2001/8/23,9.48,0.006369427,-0.010438413,-0.01863354,1.17,0.02,1162.089966,-0.002763293,-0.016561505,-0.018032403,91.5,4555.725,41.3,1615,176350,9784.6,132028,92.3208,1.42,Extremely High Point
2001/8/24,9.43,-0.005274262,-0.014629049,-0.01565762,1.17,0,1184.930054,0.01965432,0.019759618,-0.00439435,91.5,4555.725,41.3,1615,176350,9784.6,132028,92.3208,1.42,Extremely High Point
2001/8/27,9.59,0.016967126,0.019128587,0,1.16,-0.01,1179.209961,-0.004827368,0.00665858,-0.010140333,91.5,4555.725,41.5,1615,176350,9784.6,132028,92.3208,1.42,Extremely High Point
2001/8/28,9.57,-0.002085506,0.011627907,-0.002085506,1.14,-0.02,1161.51001,-0.015010008,0.003672468,-0.02125165,91.5,4555.725,41.5,1615,176350,9784.6,132028,92.3208,1.42,Extremely High Point
2001/8/29,9.44,-0.013584117,0.002123142,-0.018711019,1.11,-0.03,1148.560059,-0.011149238,-0.014373857,-0.025008031,91.5,4555.725,41.5,1615,176350,9784.6,132028,92.3208,1.42,Extremely High Point
2001/8/30,9.39,-0.00529661,-0.009493671,-0.019832985,1.18,0.07,1129.030029,-0.017003926,-0.02844869,-0.044539041,91.5,4555.725,41.5,1615,170129,9781.4,132028,91.7933,1.42,Extremely High Point
2001/8/31,9.2,-0.020234292,-0.024390244,-0.038662487,1.21,0.03,1133.579956,0.004029943,-0.043335974,-0.024432658,91.5,4555.725,41.5,1615,170129,9781.4,132028,91.7933,1.42,Extremely High Point
2001/9/3,9.21,0.001086957,-0.039624609,-0.021253985,1.21,0,1133.579956,0,-0.038695403,-0.03229448,81.8,4555.725,41.5,1565,170129,9781.4,131771,91.7933,1.44,Extremely High Point
2001/9/4,9.13,-0.008686211,-0.045977011,-0.034883721,1.16,-0.05,1132.939941,-0.000564596,-0.024597351,-0.021015216,81.8,4555.725,41.5,1565,170129,9781.4,131771,91.7933,1.44,Extremely High Point
2001/9/5,9.18,0.005476451,-0.027542373,-0.025477707,1.18,0.02,1131.73999,-0.001059148,-0.014644484,-0.028807843,81.8,4555.725,41.5,1565,170129,9781.4,131771,91.7933,1.44,Extremely High Point
2001/9/6,9.08,-0.010893246,-0.033013845,-0.042194093,1.21,0.03,1106.400024,-0.022390272,-0.020043758,-0.047922229,81.8,4555.725,41.5,1565,170129,9781.4,131771,91.7933,1.44,Extremely High Point
2001/9/7,8.89,-0.02092511,-0.033695652,-0.057264051,1.27,0.06,1085.780029,-0.018637016,-0.04216723,-0.083675846,81.8,4555.725,41.5,1565,170129,9781.4,131771,91.7933,1.44,Extremely High Point
2001/9/10,8.72,-0.01912261,-0.05320304,-0.090719499,1.31,0.04,1092.540039,0.006225948,-0.036203813,-0.073498295,81.8,4555.725,41.5,1565,170129,9781.4,131771,91.7933,1.44,Extremely High Point
2001/9/11,8.76,0.004587156,-0.040525739,-0.084639498,1.31,0,1092.540039,0,-0.03565935,-0.059379575,81.8,4555.725,41.5,1565,170129,9781.4,131771,91.7933,1.44,High Point
2001/9/12,8.6,-0.01826484,-0.063180828,-0.088983051,1.31,0,1092.540039,0,-0.034636888,-0.048774132,81.8,4555.725,41.5,1565,170129,9781.4,131771,91.7933,1.44,Little High Point
2001/9/19,8.31,-0.03372093,-0.084801762,-0.115015974,1.88,0.57,1016.099976,-0.069965457,-0.081616094,-0.100023959,81.8,4555.725,41.5,1565,170129,9781.4,131771,91.7933,1.44,Low Point
2001/9/20,8.23,-0.009626955,-0.07424072,-0.105434783,1.84,-0.04,984.539978,-0.031059934,-0.093241769,-0.131477252,81.8,4576.25,41.5,1565,170129,9781.4,131771,91.7933,1.44,Extremely Low Point
2001/9/21,7.98,-0.030376671,-0.084862385,-0.133550489,1.79,-0.05,965.799988,-0.01903426,-0.116004949,-0.14800894,81.8,4576.25,41.5,1565,170129,9781.4,131771,91.7933,1.44,Extremely Low Point
2001/9/24,7.76,-0.027568922,-0.114155251,-0.150054765,1.79,0,1003.450012,0.038983252,-0.081543947,-0.114295493,81.8,4576.25,41.5,1565,170129,9781.4,131771,91.7933,1.44,Extremely Low Point
2001/9/25,8.04,0.036082474,-0.065116279,-0.124183007,1.84,0.05,1012.27002,0.008789683,-0.073471009,-0.10556309,81.8,4576.25,41,1565,170129,9781.4,131771,91.7933,1.44,Extremely Low Point
2001/9/26,8.13,0.01119403,-0.02166065,-0.104625551,1.83,-0.01,1007.039978,-0.005166647,-0.008916443,-0.089804812,81.8,4576.25,41,1565,170129,9781.4,131771,91.7933,1.44,Extremely Low Point
2001/9/27,8.17,0.004920049,-0.007290401,-0.080989876,1.8,-0.03,1018.609985,0.011489124,0.034605001,-0.0618634,81.8,4576.25,41,1565,170129,9781.4,131771,91.7933,1.44,Extremely Low Point
2001/9/28,8.28,0.013463892,0.037593985,-0.050458716,1.74,-0.06,1040.939941,0.021921988,0.077800739,-0.04722948,81.8,4576.25,41,1565,170129,9781.4,131771,91.7933,1.44,Extremely Low Point
2001/10/2,8.42,0.016908213,0.085051546,-0.038812785,1.76,0.02,1051.329956,0.009981378,0.047715326,-0.037719517,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Low Point
2001/10/3,8.48,0.007125891,0.054726368,-0.013953488,1.73,-0.03,1072.280029,0.01992721,0.05928261,-0.018543952,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Low Point
2001/10/4,8.54,0.007075472,0.050430504,0.027677497,1.78,0.05,1069.630005,-0.002471392,0.062152475,0.052681852,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Little Low Point
2001/10/5,8.66,0.014051522,0.05997552,0.052247874,1.81,0.03,1071.380005,0.00163608,0.051805913,0.088203657,82.7,4576.25,41,1566,170484,9779.6,131454,91.6795,1.4,Little High Point
