,Date,Adj Close,Δ% next 10d,Current Status,Investing State
1894,4/3/2004,8.29,-0.030156815,bit high,0
1895,5/3/2004,8.31,-0.034897714,bit high,0
1896,8/3/2004,8.33,-0.054021609,bit high,0
1897,9/3/2004,8.27,-0.044740024,bit high,0
1898,10/3/2004,8.19,-0.037851038,bit high,0
1899,11/3/2004,8.01,-0.006242197,high,0
1900,12/3/2004,8.09,-0.014833127,high,0
1901,15/3/2004,7.98,0.007518797,low,0
1902,16/3/2004,7.99,0.008760951,low,0
1903,17/3/2004,8.08,-0.006188119,high,0
1904,18/3/2004,8.04,0.002487562,low,0
1905,19/3/2004,8.02,0.019950125,low,0
1906,22/3/2004,7.88,0.040609137,bit low,0
1907,23/3/2004,7.9,0.032911392,bit low,0
1908,24/3/2004,7.88,0.030456853,bit low,0
1909,25/3/2004,7.96,0.027638191,bit low,0
1910,26/3/2004,7.97,0.021329987,low,0
1911,29/3/2004,8.04,0.013681592,low,0
1912,30/3/2004,8.06,0.007444169,low,0
1913,31/3/2004,8.03,0.00249066,low,0
1914,1/4/2004,8.06,-0.00248139,high,0
1915,2/4/2004,8.18,-0.009779951,high,0
1916,5/4/2004,8.2,-0.009756098,high,0
1917,6/4/2004,8.16,-0.011029412,high,0
1918,7/4/2004,8.12,-0.00862069,high,0
1919,8/4/2004,8.18,-0.006112469,high,0
1920,9/4/2004,8.14,0.003685504,low,0
1921,12/4/2004,8.15,-0.003680982,high,0
1922,13/4/2004,8.12,0.002463054,low,0
1923,14/4/2004,8.05,0.0,none,0
1924,15/4/2004,8.04,-0.002487562,high,0
1925,16/4/2004,8.1,-0.011111111,high,0
1926,19/4/2004,8.12,-0.007389163,high,0
1927,20/4/2004,8.07,-0.001239157,high,0
1928,21/4/2004,8.05,0.01242236,low,0
1929,22/4/2004,8.13,-0.009840098,high,0
1930,23/4/2004,8.17,-0.023255814,high,0
1931,26/4/2004,8.12,-0.034482759,bit high,0
1932,27/4/2004,8.14,-0.027027027,high,0
1933,28/4/2004,8.05,-0.023602484,high,0
1934,29/4/2004,8.02,-0.014962594,high,0
1935,30/4/2004,8.01,-0.017478152,high,0
