Date,Price,%change,Label
1998/03/10,10.92,4.85,Extremely Low Point
1998/03/11,11.05,3.44,Low Point
1998/03/12,11.06,4.43,Extremely Low Point
1998/03/13,11.1,3.69,Extremely Low Point
1998/03/16,11.22,3.12,Low Point
1998/03/17,11.32,3.0,Low Point
1998/03/18,11.45,1.31,Little Low Point
1998/03/19,11.46,1.48,Little Low Point
1998/03/20,11.5,1.91,Little Low Point
1998/03/21,11.46,3.49,Low Point
1998/03/23,11.45,2.18,Low Point
1998/03/24,11.43,2.27,Low Point
1998/03/25,11.55,-0.17,Little High Point
1998/03/26,11.51,0.7,Little Low Point
1998/03/27,11.57,0.69,Little Low Point
1998/03/30,11.66,0.43,Little High Point
1998/03/31,11.6,0.86,Little Low Point
1998/04/01,11.63,1.63,Little Low Point
1998/04/02,11.72,2.05,Low Point
1998/04/03,11.86,-0.42,Little High Point
1998/04/04,11.7,1.2,Little Low Point
1998/04/07,11.69,1.28,Little Low Point
1998/04/08,11.53,3.04,Low Point
1998/04/09,11.59,2.67,Low Point
1998/04/10,11.65,2.49,Low Point
1998/04/13,11.71,1.28,Little Low Point
1998/04/14,11.7,1.2,Little Low Point
1998/04/15,11.82,-2.12,High Point
1998/04/16,11.96,-2.68,Extremely High Point
1998/04/17,11.81,-1.1,High Point
1998/04/18,11.84,-0.84,High Point
1998/04/20,11.84,-0.68,Little High Point
1998/04/21,11.88,-0.51,Little High Point
1998/04/22,11.9,-0.5,Little High Point
1998/04/23,11.94,-1.34,High Point
1998/04/24,11.86,-1.26,High Point
1998/04/27,11.84,-0.08,Little High Point
1998/04/28,11.57,2.42,Low Point
1998/04/29,11.64,1.89,Little Low Point
1998/04/30,11.68,0.94,Little Low Point
1998/05/02,11.74,0.43,Little Low Point
1998/05/04,11.76,-0.09,Little High Point
1998/05/05,11.82,0.17,Little High Point
1998/05/06,11.84,-0.59,Little High Point
1998/05/07,11.78,-0.51,Little High Point
1998/05/08,11.71,0.09,Little High Point
1998/05/11,11.83,-0.93,Little High Point
1998/05/12,11.85,-1.35,High Point
1998/05/13,11.86,-0.93,Little High Point
1998/05/14,11.79,-1.1,Little High Point
1998/05/15,11.79,-2.29,High Point
1998/05/16,11.75,-0.85,Little High Point
1998/05/18,11.84,-1.01,Little High Point
1998/05/19,11.77,-1.87,High Point
1998/05/20,11.72,-1.88,High Point
1998/05/21,11.72,-2.3,High Point
1998/05/22,11.72,-2.05,High Point
1998/05/25,11.69,-0.86,Little High Point
1998/05/26,11.75,-0.68,Little High Point
1998/05/27,11.66,0.09,Little High Point
1998/05/28,11.52,2.34,Low Point
1998/05/29,11.65,-0.52,Little High Point
1998/06/01,11.72,-2.99,High Point
1998/06/02,11.55,-2.6,High Point
1998/06/03,11.5,-4.78,Extremely High Point
1998/06/04,11.45,-4.28,Extremely High Point
1998/06/05,11.48,-4.88,Extremely High Point
1998/06/06,11.59,-4.57,Extremely High Point
1998/06/08,11.67,-5.48,Extremely High Point
1998/06/09,11.67,-6.26,Extremely High Point
1998/06/10,11.79,-6.7,Extremely High Point
1998/06/11,11.59,-3.62,Extremely High Point
1998/06/12,11.37,-0.53,Little High Point
1998/06/15,11.25,0.53,Little Low Point
1998/06/16,10.95,2.01,Low Point
1998/06/17,10.96,1.19,Little Low Point
1998/06/18,10.92,1.65,Little Low Point
1998/06/19,11.06,1.27,Little Low Point
1998/06/20,11.03,1.81,Low Point
1998/06/22,10.94,2.83,Low Point
1998/06/23,11.0,1.82,Low Point
1998/06/24,11.17,0.72,Little Low Point
1998/06/25,11.31,0.44,Little Low Point
1998/06/26,11.31,0.09,Little High Point
1998/06/29,11.17,1.16,Little Low Point
1998/06/30,11.09,1.62,Little Low Point
1998/07/02,11.1,1.17,Little Low Point
1998/07/03,11.2,1.79,Little Low Point
1998/07/04,11.23,2.58,Low Point
1998/07/06,11.25,2.04,Low Point
1998/07/07,11.2,2.68,Low Point
1998/07/08,11.25,2.04,Low Point
1998/07/09,11.36,0.62,Little Low Point
1998/07/10,11.32,-0.8,Little High Point
1998/07/13,11.3,-1.15,Little High Point
1998/07/14,11.27,-1.51,Little High Point
1998/07/15,11.23,-2.23,High Point
1998/07/16,11.4,-4.56,Extremely High Point
1998/07/17,11.52,-5.99,Extremely High Point
1998/07/18,11.48,-4.18,Extremely High Point
1998/07/20,11.5,-4.43,Extremely High Point
1998/07/21,11.48,-4.27,Extremely High Point
1998/07/22,11.43,-4.46,Extremely High Point
1998/07/23,11.23,-4.19,Extremely High Point
1998/07/24,11.17,-4.03,Extremely High Point
1998/07/27,11.1,-2.7,High Point
1998/07/28,10.98,-0.36,Little High Point
1998/07/29,10.88,-0.28,Little High Point
1998/07/30,10.83,-2.22,High Point
1998/07/31,11.0,-1.82,High Point
1998/08/01,10.99,-3.37,High Point
1998/08/03,10.99,-3.28,High Point
1998/08/04,10.92,-2.56,High Point
1998/08/05,10.76,-1.49,High Point
1998/08/06,10.72,0.47,Little Low Point
1998/08/07,10.8,-0.37,Little High Point
1998/08/10,10.94,-1.28,Little High Point
1998/08/11,10.85,-2.03,High Point
1998/08/12,10.59,-0.47,Little High Point
1998/08/13,10.8,-2.13,High Point
1998/08/14,10.62,-2.17,High Point
1998/08/15,10.63,-6.11,Extremely High Point
1998/08/17,10.64,-6.86,Extremely High Point
1998/08/18,10.6,-6.79,Extremely High Point
1998/08/19,10.77,-10.86,Extremely High Point
1998/08/20,10.76,-11.15,Extremely High Point
1998/08/21,10.8,-10.37,Extremely High Point
1998/08/24,10.63,-10.25,Extremely High Point
1998/08/25,10.54,-9.3,Extremely High Point
1998/08/26,10.57,-9.74,Extremely High Point
1998/08/27,10.39,-6.45,Extremely High Point
1998/08/28,9.98,0.7,Little Low Point
1998/08/29,9.91,0.81,Little Low Point
1998/08/31,9.88,-1.42,High Point
1998/09/01,9.6,2.5,Low Point
1998/09/02,9.56,4.5,Extremely Low Point
1998/09/03,9.68,3.62,Extremely Low Point
1998/09/04,9.54,5.35,Extremely Low Point
1998/09/05,9.56,3.03,Low Point
1998/09/07,9.54,3.46,Extremely Low Point
1998/09/08,9.72,1.54,Little Low Point
1998/09/09,10.05,-2.39,High Point
1998/09/10,9.99,-0.6,Little High Point
1998/09/11,9.74,3.29,Extremely Low Point
1998/09/14,9.84,1.83,Little Low Point
1998/09/15,9.99,0.2,Little High Point
1998/09/16,10.03,-1.4,Little High Point
1998/09/17,10.05,-2.39,High Point
1998/09/18,9.85,-2.44,High Point
1998/09/19,9.87,-6.69,Extremely High Point
1998/09/21,9.87,-7.8,Extremely High Point
1998/09/22,9.81,-10.19,Extremely High Point
1998/09/23,9.93,-10.88,Extremely High Point
1998/09/24,10.06,-13.22,Extremely High Point
1998/09/25,10.02,-14.37,Extremely High Point
1998/09/28,10.01,-12.09,Extremely High Point
1998/09/29,9.89,-7.08,Extremely High Point
1998/09/30,9.81,-6.73,Extremely High Point
1998/10/01,9.61,-3.95,Extremely High Point
1998/10/02,9.21,5.54,Extremely Low Point
1998/10/03,9.1,6.81,Extremely Low Point
1998/10/06,8.81,11.8,Extremely Low Point
1998/10/07,8.85,12.09,Extremely Low Point
1998/10/08,8.73,15.35,Extremely Low Point
1998/10/09,8.58,17.6,Extremely Low Point
1998/10/12,8.8,14.66,Extremely Low Point
